OutcomeType,type,HasName,Year,Month,Weekday,Hour,WeekofYear,DayofMonth,isHoliday,AgeInDaysCategorical,LifeStage,BernoulliSex,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,MixType,Hair,ReducedPattern,BlendedColor
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,?,0,0.0
1,1,0,1,1,1,1,1,1,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0,1.0,1,1.0
2,0,0,2,2,2,1,2,2,1,1.0,1.0,0,2.0,2.0,2.0,2.0,0,?,0,2.0
3,1,1,0,3,3,2,3,3,1,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,0.0
3,0,1,1,4,3,1,4,4,0,1.0,1.0,0,3.0,0.0,2.0,0.0,1,?,2,1.0
3,0,0,0,5,3,3,5,5,0,3.0,2.0,3,4.0,1.0,2.0,1.0,1,1.0,0,3.0
3,1,0,2,6,2,3,6,6,1,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,4.0
3,1,1,2,5,4,4,7,7,0,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,0,0,0,5,4,8,8,0,4.0,2.0,1,2.0,2.0,2.0,2.0,0,?,0,6.0
2,0,1,0,7,2,5,7,9,1,0.0,0.0,1,3.0,1.0,2.0,1.0,2,?,2,7.0
3,1,1,1,8,4,6,9,10,1,1.0,1.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,1,1,4,6,7,10,8,0,1.0,1.0,1,5.0,0.0,2.0,1.0,0,?,2,2.0
2,0,0,3,0,0,8,2,9,0,5.0,3.0,0,2.0,2.0,2.0,2.0,0,?,2,5.0
0,0,0,2,9,6,9,11,11,0,1.0,1.0,0,6.0,1.0,2.0,1.0,0,?,0,9.0
0,0,0,2,4,0,6,12,5,0,0.0,0.0,0,7.0,3.0,2.0,1.0,0,?,0,10.0
2,1,0,0,3,2,1,3,0,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
3,1,1,0,7,2,9,7,9,1,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,0,1,0,9,2,1,13,12,1,7.0,2.0,3,2.0,2.0,2.0,2.0,0,?,0,0.0
3,1,0,0,7,2,8,14,13,1,1.0,1.0,3,1.0,1.0,1.0,1.0,0,?,2,7.0
0,0,0,0,3,0,4,15,7,1,0.0,0.0,0,8.0,2.0,0.0,0.0,0,?,2,8.0
3,0,0,0,2,1,6,16,14,1,8.0,2.0,2,?,?,?,?,0,?,0,4.0
3,1,0,2,10,3,6,17,15,0,0.0,0.0,1,1.0,1.0,1.0,1.0,0,1.0,2,7.0
2,0,0,2,11,2,7,18,4,1,1.0,1.0,1,10.0,2.0,2.0,2.0,1,?,3,0.0
2,0,0,1,1,6,9,19,6,0,9.0,0.0,0,11.0,2.0,0.0,0.0,0,?,0,0.0
0,0,0,0,5,0,4,20,16,0,8.0,2.0,0,11.0,2.0,0.0,0.0,0,?,0,9.0
3,1,0,2,1,2,6,21,9,1,3.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,12.0
2,0,0,3,2,3,4,22,4,1,10.0,0.0,1,12.0,0.0,2.0,1.0,0,?,0,0.0
2,0,0,2,6,0,0,6,5,0,11.0,3.0,1,6.0,1.0,2.0,1.0,0,1.0,0,10.0
2,1,0,2,4,2,3,23,17,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,1,10.0
0,1,0,2,3,4,7,15,7,1,12.0,4.0,0,1.0,1.0,1.0,1.0,0,?,2,4.0
1,1,1,3,2,3,3,24,18,1,13.0,1.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
3,0,0,2,3,0,6,25,4,1,14.0,2.0,2,13.0,2.0,0.0,0.0,0,?,0,4.0
2,1,1,0,3,4,4,26,9,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
0,0,0,1,4,3,3,10,11,0,11.0,3.0,0,14.0,5.0,0.0,0.0,1,?,0,9.0
3,0,0,2,5,2,9,20,3,1,13.0,1.0,0,6.0,1.0,2.0,1.0,0,1.0,2,5.0
1,0,1,1,8,3,7,9,19,1,13.0,1.0,2,13.0,2.0,0.0,0.0,0,?,2,14.0
0,0,0,1,1,4,8,27,20,0,13.0,1.0,0,2.0,2.0,2.0,2.0,0,?,0,0.0
3,1,1,0,3,0,3,26,21,1,8.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,0,2.0
3,1,0,2,11,5,10,18,3,1,14.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,1,1,2,3,5,1,25,22,1,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,1,0,2,5,2,4,28,8,1,12.0,4.0,1,1.0,1.0,1.0,1.0,0,1.0,1,4.0
3,1,1,2,9,5,3,29,23,0,8.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,1,0,1,8,6,6,30,16,1,8.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,1,1,0,2,5,6,31,17,1,5.0,3.0,2,1.0,1.0,1.0,1.0,0,2.0,0,4.0
2,1,0,0,7,0,6,32,6,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
0,0,0,0,11,0,5,33,24,1,15.0,5.0,0,0.0,0.0,1.0,0.0,2,?,2,?
0,1,0,0,11,5,8,34,10,1,16.0,4.0,1,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,1,1,2,7,5,8,35,10,0,2.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,0,2,6,6,4,36,16,0,4.0,2.0,1,11.0,2.0,0.0,0.0,0,?,0,9.0
1,0,1,1,1,0,6,19,7,0,17.0,3.0,2,15.0,2.0,2.0,1.0,1,?,0,0.0
3,1,1,0,3,6,11,15,6,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
2,1,0,2,1,6,0,27,14,0,6.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,1,1,0,9,4,4,29,25,0,2.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,2.0
2,0,0,2,7,4,1,14,22,0,1.0,1.0,0,16.0,2.0,2.0,1.0,0,?,0,2.0
2,1,0,0,4,5,9,23,15,0,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,1,11.0
3,1,1,2,1,1,6,21,8,1,18.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,1,0,2,11,1,3,18,26,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
3,0,1,0,3,3,9,25,15,1,0.0,0.0,2,6.0,1.0,2.0,1.0,0,1.0,2,1.0
0,0,0,0,10,5,7,17,26,0,5.0,3.0,1,17.0,2.0,2.0,0.0,0,?,0,3.0
2,0,0,0,3,6,1,3,12,1,1.0,1.0,0,18.0,0.0,2.0,1.0,1,?,0,0.0
3,1,0,2,11,0,3,37,14,1,0.0,0.0,2,1.0,1.0,1.0,1.0,0,1.0,1,11.0
1,0,0,0,7,3,0,35,16,0,19.0,5.0,1,6.0,1.0,2.0,1.0,0,?,0,9.0
3,1,0,2,1,5,6,1,19,0,3.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,0,2,10,0,8,38,23,0,1.0,1.0,1,19.0,0.0,2.0,1.0,0,?,0,10.0
3,1,1,0,3,4,4,25,13,1,7.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
0,0,0,2,1,5,0,19,24,0,17.0,3.0,1,6.0,1.0,1.0,0.0,0,?,2,7.0
3,0,0,0,8,6,6,30,11,1,10.0,0.0,0,20.0,2.0,2.0,1.0,0,?,0,4.0
3,0,0,2,10,5,6,39,11,0,8.0,2.0,3,13.0,2.0,1.0,0.0,2,?,2,1.0
3,1,1,2,9,5,11,40,26,0,8.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,0.0
2,0,0,0,7,2,0,35,27,1,0.0,0.0,1,6.0,1.0,2.0,1.0,0,1.0,2,15.0
2,0,0,0,5,0,4,7,7,0,8.0,2.0,0,21.0,2.0,0.0,0.0,0,?,2,5.0
3,0,0,3,2,3,7,31,28,1,1.0,1.0,0,2.0,2.0,2.0,2.0,0,?,3,0.0
2,0,1,0,6,5,0,6,5,0,13.0,1.0,1,22.0,2.0,2.0,0.0,1,?,2,7.0
0,1,0,2,11,5,8,37,15,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
0,0,0,1,8,2,9,41,6,1,5.0,3.0,1,6.0,1.0,2.0,1.0,0,?,0,0.0
3,0,0,2,11,0,7,37,14,1,1.0,1.0,1,23.0,0.0,2.0,1.0,1,1.0,2,1.0
