Name,DateTime,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,HasName,Year,Month,Weekday,Hour,WeekofYear,DayofMonth,isHoliday,AgeinDays,LifeStage,BernoulliSex,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,AvgAge,MixType,Hair,BlendedColor,ReducedPattern,ID
Summer,2015-10-12 12:15:00,Dog,Intact Female,10 months,Labrador Retriever Mix,Red/White,1.0,2015,10,0,12,42,12,True,310.0,Puppy/Kitten,Intact Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,salmon,BiColor,1
Cheyenne,2014-07-26 17:59:00,Dog,Spayed Female,2 years,German Shepherd/Siberian Husky,Black/Tan,1.0,2014,7,5,17,30,26,True,730.0,Young Adult,Spayed Female,59.0,4.0,4.0,3.0,12.0,Cross,Short,darkolivegreen,BiColor,2
Gus,2016-01-13 12:20:00,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,1.0,2016,1,2,12,2,13,True,365.0,Puppy/Kitten,Neutered Male,9.0,1.0,3.0,3.0,8.0,Mix,Short,brown,Tabby,3
Pongo,2013-12-28 18:12:00,Dog,Intact Male,4 months,Collie Smooth Mix,Tricolor,1.0,2013,12,5,18,52,28,True,124.0,Infant,Intact Male,16.0,2.0,4.0,3.0,13.0,Mix,Short,Not_clear,Solid,4
Skooter,2015-09-24 17:59:00,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,1.0,2015,9,3,17,39,24,False,730.0,Young Adult,Neutered Male,14.0,2.0,5.0,4.0,16.0,Mix,Short,white,Solid,5
Beau,2015-06-23 11:17:00,Dog,Neutered Male,3 years,Beagle Mix,Brown/White,1.0,2015,6,1,11,26,23,False,1095.0,Young Adult,Neutered Male,28.0,2.0,2.0,4.0,15.0,Mix,Long,rosybrown,BiColor,6
Bobo,2014-03-12 09:45:00,Cat,Neutered Male,13 years,Domestic Medium Hair Mix,Brown Tabby/White,1.0,2014,3,2,9,11,12,False,4745.0,Geriatric,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Medium,rosybrown,Tabby,7
Abby,2014-06-25 08:27:00,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby,1.0,2014,6,2,8,26,25,False,186.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Tabby,8
Ruby Grace,2014-11-12 18:05:00,Dog,Spayed Female,3 months,Cairn Terrier,Black/Cream,1.0,2014,11,2,18,46,12,False,93.0,Infant,Spayed Female,14.0,1.0,4.0,3.0,15.0,Pure,Short,darkolivegreen,BiColor,9
Ruby,2014-04-07 17:41:00,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,1.0,2014,4,0,17,15,7,False,365.0,Puppy/Kitten,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,BiColor,10
Marlee,2014-01-01 17:03:00,Dog,Spayed Female,5 months,Labrador Retriever Mix,White/Black,1.0,2014,1,2,17,1,1,True,155.0,Infant,Spayed Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,grey,BiColor,11
Lala,2014-09-19 15:40:00,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White,1.0,2014,9,4,15,38,19,False,730.0,Young Adult,Intact Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,silver,BiColor,12
Chloe,2015-01-25 15:13:00,Dog,Spayed Female,6 months,Pit Bull Mix,Brown Brindle,1.0,2015,1,6,15,4,25,True,186.0,Puppy/Kitten,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,brown,TriColor,13
,2015-09-22 18:17:00,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,0.0,2015,9,1,18,39,22,False,730.0,Young Adult,Neutered Male,14.0,2.0,5.0,4.0,16.0,Mix,Short,white,Solid,14
Duffy,2014-07-20 19:24:00,Dog,Neutered Male,1 year,Flat Coat Retriever/German Shepherd,Black/Brown,1.0,2014,7,6,19,29,20,True,365.0,Puppy/Kitten,Neutered Male,68.0,4.0,5.0,4.0,12.0,Cross,Short,maroon,BiColor,15
Jiggy,2014-03-26 18:33:00,Dog,Spayed Female,4 months,Pointer/Labrador Retriever,White,1.0,2014,3,2,18,13,26,False,124.0,Infant,Spayed Female,62.0,4.0,4.0,3.0,14.0,Cross,Short,white,Solid,16
